Customer ID,Recency_Score,Frequency_Score,Monetary_Score,Segment
12456,3,3,5,need_attention
12457,3,5,5,loyal_customers
12458,3,2,4,about_to_sleep
12461,2,2,3,hibernating
12462,4,2,4,potential_loyalists
12463,3,4,4,loyal_customers
12464,5,5,4,champions
12465,4,2,3,potential_loyalists
12468,1,2,3,hibernating
12471,5,5,5,champions
12472,4,5,5,loyal_customers
12473,4,4,5,loyal_customers
12474,4,5,5,loyal_customers
12475,3,1,3,about_to_sleep
12476,4,5,5,loyal_customers
12477,4,4,5,loyal_customers
12478,5,1,3,new_customers
12479,5,1,3,new_customers
12480,4,4,5,loyal_customers
12481,4,5,5,loyal_customers
12483,4,5,5,loyal_customers
12484,4,4,5,loyal_customers
12488,5,3,4,potential_loyalists
12489,1,1,2,hibernating
12490,5,5,5,champions
12491,3,1,2,about_to_sleep
12492,3,2,2,about_to_sleep
12493,2,2,2,hibernating
12494,4,5,4,loyal_customers
12497,2,1,4,hibernating
12498,4,3,2,potential_loyalists
12500,4,5,5,loyal_customers
12501,1,1,5,hibernating
12502,2,4,5,at_risk
12504,4,2,2,potential_loyalists
12506,1,1,1,hibernating
12507,2,3,4,at_risk
12508,4,2,2,potential_loyalists
12509,1,1,1,hibernating
12510,2,2,4,hibernating
12512,3,2,1,about_to_sleep
12513,2,1,3,hibernating
12514,1,1,4,hibernating
12515,1,1,2,hibernating
12516,2,2,4,hibernating
12517,4,4,5,loyal_customers
12518,5,4,4,champions
12519,3,1,2,about_to_sleep
12520,2,4,5,at_risk
12521,2,1,3,hibernating
12522,3,2,1,about_to_sleep
12523,4,5,4,loyal_customers
12524,5,5,5,champions
12526,5,3,4,potential_loyalists
12527,2,3,2,at_risk
12528,5,5,4,champions
12530,3,4,4,loyal_customers
12531,4,1,1,promising
12532,4,1,2,promising
12534,2,1,4,hibernating
12535,2,2,3,hibernating
12536,3,3,5,need_attention
12538,4,1,2,promising
12539,4,4,5,loyal_customers
12540,4,5,5,loyal_customers
12541,4,3,4,potential_loyalists
12544,3,1,2,about_to_sleep
12545,2,2,4,hibernating
12546,3,2,4,about_to_sleep
12547,1,2,1,hibernating
12548,2,1,1,hibernating
12550,2,1,4,hibernating
12551,1,1,1,hibernating
12552,3,2,2,about_to_sleep
12553,5,5,5,champions
12556,3,2,3,about_to_sleep
12557,4,4,5,loyal_customers
12558,5,1,2,new_customers
12559,1,2,3,hibernating
12560,5,3,5,potential_loyalists
12561,1,1,1,hibernating
12562,5,5,5,champions
12564,1,1,2,hibernating
12565,1,1,1,hibernating
12566,2,1,2,hibernating
12567,4,5,5,loyal_customers
12569,5,5,5,champions
12571,3,2,3,about_to_sleep
12572,5,2,4,potential_loyalists
12573,1,1,1,hibernating
12574,1,1,1,hibernating
12576,3,4,4,loyal_customers
12577,3,3,3,need_attention
12578,4,2,5,potential_loyalists
12579,2,1,2,hibernating
12580,1,1,2,hibernating
12581,3,1,1,about_to_sleep
12582,1,2,3,hibernating
12583,5,5,5,champions
12584,5,5,5,champions
12585,1,2,4,hibernating
12586,4,1,1,promising
12587,5,1,1,new_customers
12588,3,1,1,about_to_sleep
12589,4,2,3,potential_loyalists
12590,1,2,5,hibernating
12591,1,1,2,hibernating
12592,2,2,2,hibernating
12593,2,3,2,at_risk
12594,3,5,5,loyal_customers
12596,3,2,3,about_to_sleep
12597,4,4,5,loyal_customers
12598,5,5,5,champions
12599,4,5,4,loyal_customers
12600,4,5,5,loyal_customers
12601,1,4,3,at_risk
12602,3,1,1,about_to_sleep
12603,4,1,3,promising
12604,2,2,2,hibernating
12607,3,1,4,about_to_sleep
12609,2,3,4,at_risk
12610,4,4,5,loyal_customers
12611,3,1,4,about_to_sleep
12612,2,1,3,hibernating
12613,3,4,5,loyal_customers
12614,1,1,2,hibernating
12615,5,4,5,champions
12616,2,2,3,hibernating
12617,4,1,2,promising
12618,4,1,1,promising
12619,4,5,5,loyal_customers
12620,4,3,4,potential_loyalists
12621,5,5,5,champions
12622,1,1,1,hibernating
12623,1,1,2,hibernating
12624,2,2,3,hibernating
12625,1,2,5,hibernating
12626,4,5,5,loyal_customers
12627,5,5,5,champions
12628,5,3,3,potential_loyalists
12630,5,2,4,potential_loyalists
12631,3,1,3,about_to_sleep
12633,3,4,5,loyal_customers
12635,2,2,4,hibernating
12637,3,5,5,loyal_customers
12638,3,1,3,about_to_sleep
12639,1,1,2,hibernating
12640,4,3,4,potential_loyalists
12641,2,1,1,hibernating
12642,4,3,4,potential_loyalists
12643,2,5,5,cant_loose
12644,2,1,2,hibernating
12645,3,4,4,loyal_customers
12646,5,2,4,potential_loyalists
12647,4,5,5,loyal_customers
12648,2,1,2,hibernating
12649,2,3,3,at_risk
12650,5,1,2,new_customers
12651,1,1,1,hibernating
12652,1,1,3,hibernating
12653,2,2,5,hibernating
12654,5,4,3,champions
12656,4,4,5,loyal_customers
12657,5,4,4,champions
12658,4,1,3,promising
12659,4,1,1,promising
12660,5,1,1,new_customers
12662,5,5,5,champions
12664,5,5,5,champions
12665,1,1,1,hibernating
12667,3,1,3,about_to_sleep
12668,5,4,5,champions
12669,2,3,5,at_risk
12670,5,4,5,champions
12672,1,1,1,hibernating
12673,5,2,3,potential_loyalists
12674,3,4,4,loyal_customers
12676,4,5,4,loyal_customers
12678,3,5,5,loyal_customers
12679,3,4,4,loyal_customers
12680,5,4,3,champions
12681,4,5,5,loyal_customers
12682,5,5,5,champions
12683,5,5,5,champions
12684,5,5,5,champions
12685,4,5,5,loyal_customers
12686,1,1,1,hibernating
12688,2,1,5,hibernating
12689,4,2,4,potential_loyalists
12690,1,1,2,hibernating
12691,4,5,4,loyal_customers
12693,2,4,3,at_risk
12694,3,2,3,about_to_sleep
12695,5,4,3,champions
12697,4,3,4,potential_loyalists
12700,5,4,5,champions
12701,2,2,3,hibernating
12702,4,1,1,promising
12703,3,1,2,about_to_sleep
12704,5,5,5,champions
12705,4,5,5,loyal_customers
12707,1,1,3,hibernating
12708,4,5,5,loyal_customers
12709,4,5,5,loyal_customers
12710,2,3,4,at_risk
12712,4,5,5,loyal_customers
12713,5,1,3,new_customers
12714,5,4,5,champions
12715,2,1,2,hibernating
12716,5,2,4,potential_loyalists
12717,2,2,4,hibernating
12718,3,1,1,about_to_sleep
12719,5,2,3,potential_loyalists
12720,5,5,5,champions
12721,4,5,5,loyal_customers
12722,2,4,4,at_risk
12723,5,4,3,champions
12724,5,4,4,champions
12725,1,1,2,hibernating
12726,4,5,5,loyal_customers
12727,5,5,5,champions
12728,3,4,3,loyal_customers
12729,2,1,2,hibernating
12731,4,5,5,loyal_customers
12732,2,1,1,hibernating
12733,1,1,2,hibernating
12734,1,1,1,hibernating
12735,1,2,3,hibernating
12736,1,1,1,hibernating
12738,1,1,1,hibernating
12739,2,2,4,hibernating
12740,3,1,2,about_to_sleep
12743,2,2,3,hibernating
12744,3,5,5,loyal_customers
12747,5,5,5,champions
12748,5,5,5,champions
12749,5,4,5,champions
12750,2,1,2,hibernating
12752,2,1,5,hibernating
12753,4,5,5,loyal_customers
12754,1,3,5,at_risk
12755,1,2,5,hibernating
12756,2,1,1,hibernating
12757,4,5,5,loyal_customers
12758,2,2,5,hibernating
12759,3,3,4,need_attention
12762,5,2,4,potential_loyalists
12763,2,2,3,hibernating
12764,1,1,4,hibernating
12766,5,5,5,champions
12769,1,1,4,hibernating
12770,1,1,4,hibernating
12772,3,1,3,about_to_sleep
12775,4,4,4,loyal_customers
12778,4,5,3,loyal_customers
12779,3,5,5,loyal_customers
12781,3,2,3,about_to_sleep
12782,5,4,5,champions
12783,5,5,5,champions
12784,5,2,3,potential_loyalists
12785,1,1,2,hibernating
12787,5,3,2,potential_loyalists
12789,3,1,1,about_to_sleep
12790,1,1,2,hibernating
12791,1,1,1,hibernating
12792,1,1,2,hibernating
12793,1,2,3,hibernating
12794,3,2,3,about_to_sleep
12795,4,1,2,promising
12797,1,1,2,hibernating
12798,5,3,5,potential_loyalists
12802,1,1,2,hibernating
12808,3,3,2,need_attention
12809,2,1,2,hibernating
12811,1,3,3,at_risk
12812,3,1,1,about_to_sleep
12814,2,1,1,hibernating
12815,2,2,4,hibernating
12816,2,2,3,hibernating
12817,1,1,1,hibernating
12818,1,1,4,hibernating
12820,5,4,4,champions
12821,1,1,1,hibernating
12822,3,2,4,about_to_sleep
12823,2,4,4,at_risk
12824,3,1,2,about_to_sleep
12826,5,5,4,champions
12827,5,3,2,potential_loyalists
12828,5,5,4,champions
12829,1,2,2,hibernating
12830,3,5,5,loyal_customers
12831,1,1,1,hibernating
12832,4,2,2,potential_loyalists
12833,2,1,2,hibernating
12834,1,1,2,hibernating
12836,3,4,5,loyal_customers
12837,2,1,1,hibernating
12838,3,2,3,about_to_sleep
12839,5,5,5,champions
12840,2,4,5,at_risk
12841,5,5,5,champions
12842,3,2,4,about_to_sleep
12843,3,5,4,loyal_customers
12844,4,2,2,potential_loyalists
12845,1,4,2,at_risk
12847,4,1,3,promising
12849,4,2,4,potential_loyalists
12851,2,1,1,hibernating
12852,1,1,2,hibernating
12853,2,5,4,cant_loose
12854,2,3,4,at_risk
12855,1,1,1,hibernating
12856,5,5,5,champions
12857,1,2,4,hibernating
12863,3,1,3,about_to_sleep
12864,2,1,1,hibernating
12865,4,2,4,potential_loyalists
12866,1,1,3,hibernating
12867,4,5,5,loyal_customers
12868,1,5,4,cant_loose
12871,2,2,2,hibernating
12872,1,2,3,hibernating
12873,1,1,2,hibernating
12875,2,2,2,hibernating
12876,3,2,5,about_to_sleep
12877,5,5,4,champions
12878,1,2,3,hibernating
12879,3,3,3,need_attention
12881,1,1,2,hibernating
12882,5,2,4,potential_loyalists
12883,4,4,3,loyal_customers
12884,2,1,2,hibernating
12885,3,3,4,need_attention
12886,3,2,4,about_to_sleep
12888,1,2,2,hibernating
12890,4,1,2,promising
12891,1,3,2,at_risk
12893,4,1,1,promising
12895,3,2,2,about_to_sleep
12897,1,2,1,hibernating
12901,5,5,5,champions
12902,1,1,1,hibernating
12904,4,2,3,potential_loyalists
12906,5,4,5,champions
12908,2,2,3,hibernating
12909,3,4,5,loyal_customers
12910,4,5,5,loyal_customers
12912,5,4,4,champions
12913,5,4,5,champions
12915,2,2,2,hibernating
12916,2,4,5,at_risk
12917,2,1,3,hibernating
12919,5,5,4,champions
12920,4,1,1,promising
12921,5,5,5,champions
12922,2,1,2,hibernating
12923,3,1,1,about_to_sleep
12924,2,4,3,at_risk
12925,5,2,3,potential_loyalists
12928,3,4,5,loyal_customers
12929,1,1,1,hibernating
12930,2,2,2,hibernating
12931,4,5,5,loyal_customers
12933,4,3,3,potential_loyalists
12935,5,5,5,champions
12936,4,4,4,loyal_customers
12937,4,4,4,loyal_customers
12938,4,1,1,promising
12939,3,5,5,loyal_customers
12940,3,2,3,about_to_sleep
12942,2,3,3,at_risk
12944,3,2,3,about_to_sleep
12945,1,1,2,hibernating
12947,2,5,4,cant_loose
12948,4,5,5,loyal_customers
12949,4,5,5,loyal_customers
12950,5,3,4,potential_loyalists
12951,5,5,4,champions
12952,5,4,4,champions
12953,5,1,2,new_customers
12955,5,5,5,champions
12956,1,1,1,hibernating
12957,5,5,5,champions
12962,5,2,2,potential_loyalists
12963,5,5,4,champions
12965,2,1,3,hibernating
12966,5,1,1,new_customers
12967,1,2,4,hibernating
12968,2,1,1,hibernating
12970,5,4,2,champions
12971,5,5,5,champions
12974,1,1,1,hibernating
12976,1,1,3,hibernating
12977,2,1,1,hibernating
12980,2,5,5,cant_loose
12981,4,2,2,potential_loyalists
12982,1,1,2,hibernating
12984,4,1,1,promising
12985,5,2,4,potential_loyalists
12987,2,2,3,hibernating
12988,1,1,3,hibernating
12989,5,5,5,champions
12990,4,3,2,potential_loyalists
12991,4,2,3,potential_loyalists
12993,4,4,2,loyal_customers
12994,5,3,4,potential_loyalists
12995,2,1,1,hibernating
12997,4,4,4,loyal_customers
12999,1,3,2,at_risk
13000,2,3,3,at_risk
13001,5,5,5,champions
13002,1,1,1,hibernating
13003,2,3,1,at_risk
13004,5,5,5,champions
13005,2,2,3,hibernating
13006,3,1,1,about_to_sleep
13008,1,1,1,hibernating
13011,1,1,1,hibernating
13012,5,5,4,champions
13013,5,5,5,champions
13014,5,5,5,champions
13015,3,4,5,loyal_customers
13016,2,3,3,at_risk
13017,5,1,1,new_customers
13018,4,5,5,loyal_customers
13021,5,5,5,champions
13023,3,2,3,about_to_sleep
13026,5,4,4,champions
13027,2,5,5,cant_loose
13028,4,2,3,potential_loyalists
13029,4,3,4,potential_loyalists
13030,5,2,3,potential_loyalists
13032,3,2,4,about_to_sleep
13033,1,1,1,hibernating
13034,3,2,3,about_to_sleep
13035,2,2,3,hibernating
13037,2,3,3,at_risk
13038,2,3,3,at_risk
13040,5,2,3,potential_loyalists
13043,1,1,3,hibernating
13044,1,1,3,hibernating
13045,2,1,2,hibernating
13046,4,2,3,potential_loyalists
13047,4,5,5,loyal_customers
13048,4,4,4,loyal_customers
13049,3,2,3,about_to_sleep
13050,4,5,5,loyal_customers
13052,1,1,2,hibernating
13055,2,3,4,at_risk
13058,4,3,2,potential_loyalists
13059,1,1,1,hibernating
13060,1,1,2,hibernating
13061,2,1,1,hibernating
13062,1,1,2,hibernating
13064,5,4,4,champions
13065,1,1,1,hibernating
13066,4,2,2,potential_loyalists
13067,2,1,1,hibernating
13068,5,2,2,potential_loyalists
13069,5,5,5,champions
13070,1,1,1,hibernating
13072,1,1,1,hibernating
13075,2,1,3,hibernating
13077,5,4,3,champions
13078,5,5,5,champions
13079,5,4,1,champions
13080,2,1,1,hibernating
13081,5,5,5,champions
13082,2,5,5,cant_loose
13083,5,2,2,potential_loyalists
13085,2,2,2,hibernating
13089,5,5,5,champions
13090,5,5,5,champions
13091,4,1,2,promising
13092,3,4,2,loyal_customers
13093,1,5,5,cant_loose
13094,4,5,4,loyal_customers
13095,3,1,1,about_to_sleep
13097,4,5,5,loyal_customers
13098,5,5,5,champions
13099,2,1,1,hibernating
13101,1,1,1,hibernating
13102,5,5,5,champions
13103,3,1,1,about_to_sleep
13104,5,5,4,champions
13106,2,1,1,hibernating
13107,3,4,4,loyal_customers
13108,1,1,2,hibernating
13109,3,2,3,about_to_sleep
13110,4,5,4,loyal_customers
13113,5,5,5,champions
13115,5,4,5,champions
13116,2,1,3,hibernating
13117,4,5,4,loyal_customers
13118,4,4,4,loyal_customers
13120,1,1,1,hibernating
13121,1,1,2,hibernating
13122,2,2,3,hibernating
13124,2,3,5,at_risk
13126,5,5,5,champions
13127,2,1,2,hibernating
13130,2,1,1,hibernating
13131,4,3,4,potential_loyalists
13132,1,1,1,hibernating
13133,1,2,1,hibernating
13134,2,4,4,at_risk
13135,1,1,5,hibernating
13136,3,4,5,loyal_customers
13137,5,5,5,champions
13138,4,5,4,loyal_customers
13139,4,5,5,loyal_customers
13140,2,3,2,at_risk
13141,2,4,5,at_risk
13142,4,1,2,promising
13144,1,1,1,hibernating
13145,3,4,3,loyal_customers
13146,4,1,1,promising
13147,5,4,3,champions
13148,4,5,5,loyal_customers
13149,4,4,4,loyal_customers
13151,1,1,4,hibernating
13153,5,1,2,new_customers
13155,3,4,4,loyal_customers
13157,3,4,4,loyal_customers
13158,2,4,4,at_risk
13159,5,4,4,champions
13160,4,1,1,promising
13161,1,1,1,hibernating
13162,2,4,4,at_risk
13165,3,2,4,about_to_sleep
13166,1,1,2,hibernating
13167,4,4,3,loyal_customers
13168,3,4,4,loyal_customers
13169,3,2,3,about_to_sleep
13170,4,1,1,promising
13171,4,3,2,potential_loyalists
13173,5,2,2,potential_loyalists
13174,4,3,5,potential_loyalists
13176,3,1,3,about_to_sleep
13177,3,1,2,about_to_sleep
13178,4,5,5,loyal_customers
13182,3,1,1,about_to_sleep
13183,5,5,5,champions
13184,4,5,4,loyal_customers
13185,1,1,1,hibernating
13186,3,3,4,need_attention
13187,1,1,1,hibernating
13188,5,1,1,new_customers
13189,4,2,2,potential_loyalists
13192,2,2,3,hibernating
13193,3,1,1,about_to_sleep
13194,2,1,1,hibernating
13196,5,4,4,champions
13198,5,5,5,champions
13199,5,5,5,champions
13200,4,4,3,loyal_customers
13203,5,4,3,champions
13207,4,2,2,potential_loyalists
13208,3,5,4,loyal_customers
13209,4,5,5,loyal_customers
13210,2,1,2,hibernating
13211,5,3,4,potential_loyalists
13212,4,3,3,potential_loyalists
13213,3,4,4,loyal_customers
13216,1,1,2,hibernating
13217,2,3,3,at_risk
13218,2,1,1,hibernating
13220,2,4,3,at_risk
13221,1,2,3,hibernating
13223,1,2,1,hibernating
13224,3,2,5,about_to_sleep
13225,5,5,5,champions
13226,1,1,1,hibernating
13227,1,1,2,hibernating
13228,2,1,2,hibernating
13229,1,1,1,hibernating
13230,5,5,5,champions
13232,5,5,4,champions
13233,2,2,3,hibernating
13235,1,1,4,hibernating
13236,4,2,3,potential_loyalists
13238,4,4,3,loyal_customers
13239,1,1,2,hibernating
13240,2,4,3,at_risk
13242,2,3,2,at_risk
13243,1,1,3,hibernating
13244,2,1,1,hibernating
13245,3,1,2,about_to_sleep
13246,4,5,4,loyal_customers
13247,4,4,3,loyal_customers
13248,2,2,2,hibernating
13249,2,3,3,at_risk
13253,2,2,4,hibernating
13255,5,2,2,potential_loyalists
13256,4,1,1,promising
13258,5,3,3,potential_loyalists
13259,3,1,2,about_to_sleep
13260,3,1,3,about_to_sleep
13261,1,2,4,hibernating
13262,1,1,1,hibernating
13263,5,5,5,champions
13265,3,4,5,loyal_customers
13266,5,5,5,champions
13267,5,5,5,champions
13268,4,5,5,loyal_customers
13269,5,5,5,champions
13270,1,1,3,hibernating
13271,3,1,1,about_to_sleep
13272,4,2,2,potential_loyalists
13273,2,1,1,hibernating
13276,3,2,3,about_to_sleep
13277,4,4,2,loyal_customers
13278,3,1,3,about_to_sleep
13279,2,1,1,hibernating
13280,2,3,3,at_risk
13282,4,3,4,potential_loyalists
13283,3,2,1,about_to_sleep
13284,1,1,1,hibernating
13285,4,4,5,loyal_customers
13291,2,1,2,hibernating
13292,3,2,3,about_to_sleep
13294,1,2,3,hibernating
13295,1,1,1,hibernating
13296,2,1,1,hibernating
13297,5,4,5,champions
13298,5,1,2,new_customers
13299,1,1,1,hibernating
13300,2,1,2,hibernating
13301,2,4,3,at_risk
13302,2,1,1,hibernating
13304,1,1,2,hibernating
13305,5,5,4,champions
13307,2,1,1,hibernating
13308,4,3,4,potential_loyalists
13309,5,4,4,champions
13310,4,3,4,potential_loyalists
13311,5,2,3,potential_loyalists
13313,4,4,4,loyal_customers
13314,5,3,3,potential_loyalists
13316,3,4,5,loyal_customers
13317,3,5,5,loyal_customers
13318,5,3,3,potential_loyalists
13319,5,5,5,champions
13320,2,4,4,at_risk
13321,2,2,3,hibernating
13322,4,1,1,promising
13323,5,4,3,champions
13324,3,5,5,loyal_customers
13325,2,1,3,hibernating
13327,3,5,5,loyal_customers
13328,1,1,4,hibernating
13329,4,2,3,potential_loyalists
13330,2,3,4,at_risk
13332,4,1,2,promising
13334,2,3,5,at_risk
13336,2,1,3,hibernating
13338,2,1,2,hibernating
13339,1,1,3,hibernating
13340,3,5,5,loyal_customers
13341,1,1,3,hibernating
13343,2,1,2,hibernating
13344,3,3,5,need_attention
13345,1,1,2,hibernating
13347,3,1,2,about_to_sleep
13348,3,1,1,about_to_sleep
13349,5,1,1,new_customers
13350,4,2,4,potential_loyalists
13351,3,1,2,about_to_sleep
13352,3,1,2,about_to_sleep
13354,3,1,3,about_to_sleep
13355,2,1,3,hibernating
13356,2,1,3,hibernating
13357,1,1,3,hibernating
13358,1,1,2,hibernating
13359,3,1,2,about_to_sleep
13362,5,4,5,champions
13363,4,2,4,potential_loyalists
13364,3,1,1,about_to_sleep
13365,3,2,5,about_to_sleep
13366,3,1,1,about_to_sleep
13368,1,2,3,hibernating
13369,1,1,2,hibernating
13370,1,1,3,hibernating
13372,2,1,2,hibernating
13373,3,3,5,need_attention
13375,2,1,3,hibernating
13376,2,3,4,at_risk
13379,4,3,3,potential_loyalists
13381,4,5,5,loyal_customers
13382,1,1,1,hibernating
13384,4,5,5,loyal_customers
13385,1,1,3,hibernating
13388,2,2,3,hibernating
13389,5,3,3,potential_loyalists
13390,2,1,3,hibernating
13391,1,1,1,hibernating
13394,5,5,5,champions
13395,1,1,2,hibernating
13396,4,2,4,potential_loyalists
13397,2,4,4,at_risk
13398,1,1,2,hibernating
13402,2,2,3,hibernating
13403,4,1,1,promising
13404,5,2,2,potential_loyalists
13405,2,3,3,at_risk
13408,5,5,5,champions
13410,4,4,4,loyal_customers
13411,2,1,1,hibernating
13414,2,3,4,at_risk
13416,3,2,3,about_to_sleep
13417,5,2,3,potential_loyalists
13418,5,5,5,champions
13419,3,1,1,about_to_sleep
13420,2,2,1,hibernating
13421,3,2,4,about_to_sleep
13422,3,1,5,about_to_sleep
13425,2,3,4,at_risk
13426,5,5,5,champions
13427,4,3,3,potential_loyalists
13428,5,1,1,new_customers
13429,5,4,4,champions
13430,4,2,3,potential_loyalists
13431,3,2,4,about_to_sleep
13434,2,2,3,hibernating
13435,5,5,5,champions
13436,5,1,1,new_customers
13437,4,5,5,loyal_customers
13439,1,1,2,hibernating
13441,2,1,2,hibernating
13447,4,3,4,potential_loyalists
13448,4,5,5,loyal_customers
13449,4,1,2,promising
13450,4,5,4,loyal_customers
13451,4,4,5,loyal_customers
13452,1,2,3,hibernating
13453,2,2,2,hibernating
13455,4,2,4,potential_loyalists
13456,4,5,4,loyal_customers
13458,5,5,5,champions
13460,4,2,1,potential_loyalists
13461,3,3,4,need_attention
13462,1,1,1,hibernating
13464,3,1,3,about_to_sleep
13466,1,1,2,hibernating
13467,5,2,4,potential_loyalists
13468,5,5,5,champions
13470,2,2,1,hibernating
13471,5,4,5,champions
13473,3,2,2,about_to_sleep
13474,1,1,1,hibernating
13475,1,4,4,at_risk
13476,2,2,4,hibernating
13477,3,5,4,loyal_customers
13479,1,2,2,hibernating
13481,3,4,4,loyal_customers
13482,1,1,1,hibernating
13483,3,1,1,about_to_sleep
13484,1,1,2,hibernating
13485,1,1,2,hibernating
13486,2,3,4,at_risk
13487,3,3,3,need_attention
13488,4,5,5,loyal_customers
13489,2,4,2,at_risk
13491,3,5,4,loyal_customers
13492,2,3,4,at_risk
13493,1,2,3,hibernating
13494,1,1,2,hibernating
13495,5,4,4,champions
13496,5,2,3,potential_loyalists
13497,1,2,2,hibernating
13499,4,4,4,loyal_customers
13500,4,3,4,potential_loyalists
13501,1,1,4,hibernating
13502,4,3,2,potential_loyalists
13503,3,1,1,about_to_sleep
13504,3,1,2,about_to_sleep
13505,2,4,5,at_risk
13506,1,2,2,hibernating
13507,5,4,5,champions
13508,1,1,1,hibernating
13509,5,5,4,champions
13510,5,4,4,champions
13512,1,1,2,hibernating
13513,2,1,1,hibernating
13514,2,1,1,hibernating
13515,2,4,3,at_risk
13516,4,3,4,potential_loyalists
13517,3,3,5,need_attention
13518,2,1,3,hibernating
13519,2,1,1,hibernating
13520,3,5,5,loyal_customers
13521,5,3,4,potential_loyalists
13522,4,1,1,promising
13523,3,4,5,loyal_customers
13524,3,4,3,loyal_customers
13525,4,2,3,potential_loyalists
13527,3,5,5,loyal_customers
13529,2,2,2,hibernating
13531,1,2,2,hibernating
13532,3,1,1,about_to_sleep
13533,1,3,2,at_risk
13534,5,5,5,champions
13536,5,5,5,champions
13538,3,5,4,loyal_customers
13539,2,3,3,at_risk
13544,3,2,2,about_to_sleep
13546,5,3,3,potential_loyalists
13548,2,2,3,hibernating
13549,4,5,3,loyal_customers
13551,1,1,1,hibernating
13552,3,5,5,loyal_customers
13555,2,4,5,at_risk
13557,4,2,3,potential_loyalists
13558,5,4,3,champions
13560,5,1,1,new_customers
13561,1,1,1,hibernating
13562,2,3,4,at_risk
13563,2,2,3,hibernating
13564,2,3,4,at_risk
13565,4,2,1,potential_loyalists
13566,3,2,3,about_to_sleep
13568,2,1,1,hibernating
13569,4,2,2,potential_loyalists
13570,1,1,1,hibernating
13571,5,5,5,champions
13572,1,1,4,hibernating
13573,3,2,2,about_to_sleep
13575,4,4,3,loyal_customers
13576,5,5,5,champions
13577,4,4,4,loyal_customers
13579,4,2,2,potential_loyalists
13581,1,1,1,hibernating
13583,2,1,3,hibernating
13584,1,1,1,hibernating
13587,3,1,3,about_to_sleep
13588,4,5,5,loyal_customers
13589,4,2,2,potential_loyalists
13590,5,5,4,champions
13591,3,3,4,need_attention
13592,3,4,1,loyal_customers
13593,2,4,4,at_risk
13594,3,1,2,about_to_sleep
13596,5,2,3,potential_loyalists
13598,3,1,1,about_to_sleep
13599,5,5,5,champions
13600,1,1,1,hibernating
13601,3,2,3,about_to_sleep
13602,3,1,2,about_to_sleep
13603,4,1,1,promising
13606,4,3,2,potential_loyalists
13607,3,1,3,about_to_sleep
13610,5,5,4,champions
13611,2,3,4,at_risk
13614,4,4,4,loyal_customers
13615,1,1,2,hibernating
13617,3,3,3,need_attention
13618,2,1,1,hibernating
13621,2,1,1,hibernating
13623,4,4,3,loyal_customers
13626,1,1,2,hibernating
