Customer ID,Recency_Score,Frequency_Score,Monetary_Score,Segment,RFM_Score
12548,2,1,1,hibernating,21
12550,2,1,4,hibernating,21
12551,1,1,1,hibernating,11
12552,3,2,2,about_to_sleep,32
12553,5,5,5,champions,55
12556,3,2,3,about_to_sleep,32
12557,4,4,5,loyal_customers,44
12558,5,1,2,new_customers,51
12559,1,2,3,hibernating,12
12560,5,3,5,potential_loyalists,53
12561,1,1,1,hibernating,11
12562,5,5,5,champions,55
12564,1,1,2,hibernating,11
12565,1,1,1,hibernating,11
12566,2,1,2,hibernating,21
12567,4,5,5,loyal_customers,45
12569,5,5,5,champions,55
12571,3,2,3,about_to_sleep,32
12572,5,2,4,potential_loyalists,52
12573,1,1,1,hibernating,11
12574,1,1,1,hibernating,11
12576,3,4,4,loyal_customers,34
12577,3,3,3,need_attention,33
12578,4,2,5,potential_loyalists,42
12579,2,1,2,hibernating,21
12580,1,1,2,hibernating,11
12581,3,1,1,about_to_sleep,31
12582,1,2,3,hibernating,12
12583,5,5,5,champions,55
12584,5,5,5,champions,55
12585,1,2,4,hibernating,12
12586,4,1,1,promising,41
12587,5,1,1,new_customers,51
12588,3,1,1,about_to_sleep,31
12589,4,2,3,potential_loyalists,42
12590,1,2,5,hibernating,12
12591,1,1,2,hibernating,11
12592,2,2,2,hibernating,22
12594,3,5,5,loyal_customers,35
12596,3,2,3,about_to_sleep,32
12597,4,4,5,loyal_customers,44
12598,5,5,5,champions,55
12599,4,5,4,loyal_customers,45
12600,4,5,5,loyal_customers,45
12602,3,1,1,about_to_sleep,31
12603,4,1,3,promising,41
12604,2,2,2,hibernating,22
12607,3,1,4,about_to_sleep,31
12610,4,4,5,loyal_customers,44
12611,3,1,4,about_to_sleep,31
12612,2,1,3,hibernating,21
12613,3,4,5,loyal_customers,34
12614,1,1,2,hibernating,11
12615,5,4,5,champions,54
12616,2,2,3,hibernating,22
12617,4,1,2,promising,41
12618,4,1,1,promising,41
12619,4,5,5,loyal_customers,45
12620,4,3,4,potential_loyalists,43
12621,5,5,5,champions,55
12622,1,1,1,hibernating,11
12623,1,1,2,hibernating,11
12624,2,2,3,hibernating,22
12625,1,2,5,hibernating,12
12626,4,5,5,loyal_customers,45
12627,5,5,5,champions,55
12628,5,3,3,potential_loyalists,53
12630,5,2,4,potential_loyalists,52
12631,3,1,3,about_to_sleep,31
12633,3,4,5,loyal_customers,34
12635,2,2,4,hibernating,22
12637,3,5,5,loyal_customers,35
12638,3,1,3,about_to_sleep,31
12639,1,1,2,hibernating,11
12640,4,3,4,potential_loyalists,43
12641,2,1,1,hibernating,21
12642,4,3,4,potential_loyalists,43
12643,2,5,5,cant_loose,25
12644,2,1,2,hibernating,21
12645,3,4,4,loyal_customers,34
12646,5,2,4,potential_loyalists,52
12647,4,5,5,loyal_customers,45
12648,2,1,2,hibernating,21
12650,5,1,2,new_customers,51
12651,1,1,1,hibernating,11
12652,1,1,3,hibernating,11
12653,2,2,5,hibernating,22
12654,5,4,3,champions,54
12656,4,4,5,loyal_customers,44
12657,5,4,4,champions,54
12658,4,1,3,promising,41
12659,4,1,1,promising,41
12660,5,1,1,new_customers,51
12662,5,5,5,champions,55
12664,5,5,5,champions,55
12665,1,1,1,hibernating,11
12667,3,1,3,about_to_sleep,31
12668,5,4,5,champions,54
12670,5,4,5,champions,54
12672,1,1,1,hibernating,11
12673,5,2,3,potential_loyalists,52
12674,3,4,4,loyal_customers,34
12676,4,5,4,loyal_customers,45
12678,3,5,5,loyal_customers,35
12679,3,4,4,loyal_customers,34
12680,5,4,3,champions,54
12681,4,5,5,loyal_customers,45
12682,5,5,5,champions,55
12683,5,5,5,champions,55
12684,5,5,5,champions,55
12685,4,5,5,loyal_customers,45
12686,1,1,1,hibernating,11
12688,2,1,5,hibernating,21
12689,4,2,4,potential_loyalists,42
12690,1,1,2,hibernating,11
12691,4,5,4,loyal_customers,45
12694,3,2,3,about_to_sleep,32
12695,5,4,3,champions,54
12697,4,3,4,potential_loyalists,43
12700,5,4,5,champions,54
12701,2,2,3,hibernating,22
12702,4,1,1,promising,41
12703,3,1,2,about_to_sleep,31
12704,5,5,5,champions,55
12705,4,5,5,loyal_customers,45
12707,1,1,3,hibernating,11
12708,4,5,5,loyal_customers,45
12709,4,5,5,loyal_customers,45
12712,4,5,5,loyal_customers,45
12713,5,1,3,new_customers,51
12714,5,4,5,champions,54
12715,2,1,2,hibernating,21
12716,5,2,4,potential_loyalists,52
12717,2,2,4,hibernating,22
12718,3,1,1,about_to_sleep,31
12719,5,2,3,potential_loyalists,52
12720,5,5,5,champions,55
12721,4,5,5,loyal_customers,45
12723,5,4,3,champions,54
12724,5,4,4,champions,54
12725,1,1,2,hibernating,11
12726,4,5,5,loyal_customers,45
12727,5,5,5,champions,55
12728,3,4,3,loyal_customers,34
12729,2,1,2,hibernating,21
12731,4,5,5,loyal_customers,45
12732,2,1,1,hibernating,21
12733,1,1,2,hibernating,11
12734,1,1,1,hibernating,11
12735,1,2,3,hibernating,12
12736,1,1,1,hibernating,11
12738,1,1,1,hibernating,11
12739,2,2,4,hibernating,22
12740,3,1,2,about_to_sleep,31
12743,2,2,3,hibernating,22
12744,3,5,5,loyal_customers,35
12747,5,5,5,champions,55
12748,5,5,5,champions,55
12749,5,4,5,champions,54
12750,2,1,2,hibernating,21
12752,2,1,5,hibernating,21
12753,4,5,5,loyal_customers,45
12755,1,2,5,hibernating,12
12756,2,1,1,hibernating,21
12757,4,5,5,loyal_customers,45
12758,2,2,5,hibernating,22
12759,3,3,4,need_attention,33
12762,5,2,4,potential_loyalists,52
12763,2,2,3,hibernating,22
12764,1,1,4,hibernating,11
12766,5,5,5,champions,55
12769,1,1,4,hibernating,11
12770,1,1,4,hibernating,11
12772,3,1,3,about_to_sleep,31
12775,4,4,4,loyal_customers,44
12778,4,5,3,loyal_customers,45
12779,3,5,5,loyal_customers,35
12781,3,2,3,about_to_sleep,32
12782,5,4,5,champions,54
12783,5,5,5,champions,55
12784,5,2,3,potential_loyalists,52
12785,1,1,2,hibernating,11
12787,5,3,2,potential_loyalists,53
12789,3,1,1,about_to_sleep,31
12790,1,1,2,hibernating,11
12791,1,1,1,hibernating,11
12792,1,1,2,hibernating,11
12793,1,2,3,hibernating,12
12794,3,2,3,about_to_sleep,32
12795,4,1,2,promising,41
12797,1,1,2,hibernating,11
12798,5,3,5,potential_loyalists,53
12802,1,1,2,hibernating,11
12808,3,3,2,need_attention,33
12809,2,1,2,hibernating,21
12812,3,1,1,about_to_sleep,31
12814,2,1,1,hibernating,21
12815,2,2,4,hibernating,22
12816,2,2,3,hibernating,22
12817,1,1,1,hibernating,11
12818,1,1,4,hibernating,11
12820,5,4,4,champions,54
12821,1,1,1,hibernating,11
12822,3,2,4,about_to_sleep,32
12824,3,1,2,about_to_sleep,31
12826,5,5,4,champions,55
12827,5,3,2,potential_loyalists,53
12828,5,5,4,champions,55
12829,1,2,2,hibernating,12
12830,3,5,5,loyal_customers,35
12831,1,1,1,hibernating,11
12832,4,2,2,potential_loyalists,42
12833,2,1,2,hibernating,21
12834,1,1,2,hibernating,11
12836,3,4,5,loyal_customers,34
12837,2,1,1,hibernating,21
12838,3,2,3,about_to_sleep,32
12839,5,5,5,champions,55
12841,5,5,5,champions,55
12842,3,2,4,about_to_sleep,32
12843,3,5,4,loyal_customers,35
12844,4,2,2,potential_loyalists,42
12847,4,1,3,promising,41
12849,4,2,4,potential_loyalists,42
12851,2,1,1,hibernating,21
12852,1,1,2,hibernating,11
12853,2,5,4,cant_loose,25
12855,1,1,1,hibernating,11
12856,5,5,5,champions,55
12857,1,2,4,hibernating,12
12863,3,1,3,about_to_sleep,31
12864,2,1,1,hibernating,21
12865,4,2,4,potential_loyalists,42
12866,1,1,3,hibernating,11
12867,4,5,5,loyal_customers,45
12868,1,5,4,cant_loose,15
12871,2,2,2,hibernating,22
12872,1,2,3,hibernating,12
12873,1,1,2,hibernating,11
12875,2,2,2,hibernating,22
12876,3,2,5,about_to_sleep,32
12877,5,5,4,champions,55
12878,1,2,3,hibernating,12
12879,3,3,3,need_attention,33
12881,1,1,2,hibernating,11
12882,5,2,4,potential_loyalists,52
12883,4,4,3,loyal_customers,44
12884,2,1,2,hibernating,21
12885,3,3,4,need_attention,33
12886,3,2,4,about_to_sleep,32
12888,1,2,2,hibernating,12
12890,4,1,2,promising,41
12893,4,1,1,promising,41
12895,3,2,2,about_to_sleep,32
12897,1,2,1,hibernating,12
12901,5,5,5,champions,55
12902,1,1,1,hibernating,11
12904,4,2,3,potential_loyalists,42
12906,5,4,5,champions,54
12908,2,2,3,hibernating,22
12909,3,4,5,loyal_customers,34
12910,4,5,5,loyal_customers,45
12912,5,4,4,champions,54
12913,5,4,5,champions,54
12915,2,2,2,hibernating,22
12917,2,1,3,hibernating,21
12919,5,5,4,champions,55
12920,4,1,1,promising,41
12921,5,5,5,champions,55
12922,2,1,2,hibernating,21
12923,3,1,1,about_to_sleep,31
12925,5,2,3,potential_loyalists,52
12928,3,4,5,loyal_customers,34
12929,1,1,1,hibernating,11
12930,2,2,2,hibernating,22
12931,4,5,5,loyal_customers,45
12933,4,3,3,potential_loyalists,43
12935,5,5,5,champions,55
12936,4,4,4,loyal_customers,44
12937,4,4,4,loyal_customers,44
12938,4,1,1,promising,41
12939,3,5,5,loyal_customers,35
12940,3,2,3,about_to_sleep,32
12944,3,2,3,about_to_sleep,32
12945,1,1,2,hibernating,11
12947,2,5,4,cant_loose,25
12948,4,5,5,loyal_customers,45
12949,4,5,5,loyal_customers,45
12950,5,3,4,potential_loyalists,53
12951,5,5,4,champions,55
12952,5,4,4,champions,54
12953,5,1,2,new_customers,51
12955,5,5,5,champions,55
12956,1,1,1,hibernating,11
12957,5,5,5,champions,55
12962,5,2,2,potential_loyalists,52
12963,5,5,4,champions,55
12965,2,1,3,hibernating,21
12966,5,1,1,new_customers,51
12967,1,2,4,hibernating,12
12968,2,1,1,hibernating,21
12970,5,4,2,champions,54
12971,5,5,5,champions,55
12974,1,1,1,hibernating,11
12976,1,1,3,hibernating,11
12977,2,1,1,hibernating,21
12980,2,5,5,cant_loose,25
12981,4,2,2,potential_loyalists,42
12982,1,1,2,hibernating,11
12984,4,1,1,promising,41
12985,5,2,4,potential_loyalists,52
12987,2,2,3,hibernating,22
12988,1,1,3,hibernating,11
12989,5,5,5,champions,55
12990,4,3,2,potential_loyalists,43
12991,4,2,3,potential_loyalists,42
12993,4,4,2,loyal_customers,44
12994,5,3,4,potential_loyalists,53
12995,2,1,1,hibernating,21
12997,4,4,4,loyal_customers,44
13001,5,5,5,champions,55
13002,1,1,1,hibernating,11
13004,5,5,5,champions,55
13005,2,2,3,hibernating,22
13006,3,1,1,about_to_sleep,31
13008,1,1,1,hibernating,11
13011,1,1,1,hibernating,11
13012,5,5,4,champions,55
13013,5,5,5,champions,55
13014,5,5,5,champions,55
13015,3,4,5,loyal_customers,34
13017,5,1,1,new_customers,51
13018,4,5,5,loyal_customers,45
13021,5,5,5,champions,55
13023,3,2,3,about_to_sleep,32
13026,5,4,4,champions,54
13027,2,5,5,cant_loose,25
13028,4,2,3,potential_loyalists,42
13029,4,3,4,potential_loyalists,43
13030,5,2,3,potential_loyalists,52
13032,3,2,4,about_to_sleep,32
13033,1,1,1,hibernating,11
13034,3,2,3,about_to_sleep,32
13035,2,2,3,hibernating,22
13040,5,2,3,potential_loyalists,52
13043,1,1,3,hibernating,11
13044,1,1,3,hibernating,11
13045,2,1,2,hibernating,21
13046,4,2,3,potential_loyalists,42
13047,4,5,5,loyal_customers,45
13048,4,4,4,loyal_customers,44
13049,3,2,3,about_to_sleep,32
13050,4,5,5,loyal_customers,45
13052,1,1,2,hibernating,11
13058,4,3,2,potential_loyalists,43
13059,1,1,1,hibernating,11
13060,1,1,2,hibernating,11
13061,2,1,1,hibernating,21
13062,1,1,2,hibernating,11
13064,5,4,4,champions,54
13065,1,1,1,hibernating,11
13066,4,2,2,potential_loyalists,42
13067,2,1,1,hibernating,21
13068,5,2,2,potential_loyalists,52
13069,5,5,5,champions,55
13070,1,1,1,hibernating,11
13072,1,1,1,hibernating,11
13075,2,1,3,hibernating,21
13077,5,4,3,champions,54
13078,5,5,5,champions,55
13079,5,4,1,champions,54
13080,2,1,1,hibernating,21
13081,5,5,5,champions,55
13082,2,5,5,cant_loose,25
13083,5,2,2,potential_loyalists,52
13085,2,2,2,hibernating,22
13089,5,5,5,champions,55
13090,5,5,5,champions,55
13091,4,1,2,promising,41
13092,3,4,2,loyal_customers,34
13093,1,5,5,cant_loose,15
13094,4,5,4,loyal_customers,45
13095,3,1,1,about_to_sleep,31
13097,4,5,5,loyal_customers,45
13098,5,5,5,champions,55
13099,2,1,1,hibernating,21
13101,1,1,1,hibernating,11
13102,5,5,5,champions,55
13103,3,1,1,about_to_sleep,31
13104,5,5,4,champions,55
13106,2,1,1,hibernating,21
13107,3,4,4,loyal_customers,34
13108,1,1,2,hibernating,11
13109,3,2,3,about_to_sleep,32
13110,4,5,4,loyal_customers,45
13113,5,5,5,champions,55
13115,5,4,5,champions,54
13116,2,1,3,hibernating,21
13117,4,5,4,loyal_customers,45
13118,4,4,4,loyal_customers,44
13120,1,1,1,hibernating,11
13121,1,1,2,hibernating,11
13122,2,2,3,hibernating,22
13126,5,5,5,champions,55
13127,2,1,2,hibernating,21
13130,2,1,1,hibernating,21
13131,4,3,4,potential_loyalists,43
13132,1,1,1,hibernating,11
13133,1,2,1,hibernating,12
13135,1,1,5,hibernating,11
13136,3,4,5,loyal_customers,34
13137,5,5,5,champions,55
13138,4,5,4,loyal_customers,45
13139,4,5,5,loyal_customers,45
13142,4,1,2,promising,41
13144,1,1,1,hibernating,11
13145,3,4,3,loyal_customers,34
13146,4,1,1,promising,41
13147,5,4,3,champions,54
13148,4,5,5,loyal_customers,45
13149,4,4,4,loyal_customers,44
13151,1,1,4,hibernating,11
13153,5,1,2,new_customers,51
13155,3,4,4,loyal_customers,34
13157,3,4,4,loyal_customers,34
13159,5,4,4,champions,54
13160,4,1,1,promising,41
13161,1,1,1,hibernating,11
13165,3,2,4,about_to_sleep,32
13166,1,1,2,hibernating,11
13167,4,4,3,loyal_customers,44
13168,3,4,4,loyal_customers,34
13169,3,2,3,about_to_sleep,32
13170,4,1,1,promising,41
13171,4,3,2,potential_loyalists,43
13173,5,2,2,potential_loyalists,52
13174,4,3,5,potential_loyalists,43
13176,3,1,3,about_to_sleep,31
13177,3,1,2,about_to_sleep,31
13178,4,5,5,loyal_customers,45
13182,3,1,1,about_to_sleep,31
13183,5,5,5,champions,55
13184,4,5,4,loyal_customers,45
13185,1,1,1,hibernating,11
13186,3,3,4,need_attention,33
13187,1,1,1,hibernating,11
13188,5,1,1,new_customers,51
13189,4,2,2,potential_loyalists,42
13192,2,2,3,hibernating,22
13193,3,1,1,about_to_sleep,31
13194,2,1,1,hibernating,21
13196,5,4,4,champions,54
13198,5,5,5,champions,55
13199,5,5,5,champions,55
13200,4,4,3,loyal_customers,44
13203,5,4,3,champions,54
13207,4,2,2,potential_loyalists,42
13208,3,5,4,loyal_customers,35
13209,4,5,5,loyal_customers,45
13210,2,1,2,hibernating,21
13211,5,3,4,potential_loyalists,53
13212,4,3,3,potential_loyalists,43
13213,3,4,4,loyal_customers,34
13216,1,1,2,hibernating,11
13218,2,1,1,hibernating,21
13221,1,2,3,hibernating,12
13223,1,2,1,hibernating,12
13224,3,2,5,about_to_sleep,32
13225,5,5,5,champions,55
13226,1,1,1,hibernating,11
13227,1,1,2,hibernating,11
13228,2,1,2,hibernating,21
13229,1,1,1,hibernating,11
13230,5,5,5,champions,55
13232,5,5,4,champions,55
13233,2,2,3,hibernating,22
13235,1,1,4,hibernating,11
13236,4,2,3,potential_loyalists,42
13238,4,4,3,loyal_customers,44
13239,1,1,2,hibernating,11
13243,1,1,3,hibernating,11
13244,2,1,1,hibernating,21
13245,3,1,2,about_to_sleep,31
13246,4,5,4,loyal_customers,45
13247,4,4,3,loyal_customers,44
13248,2,2,2,hibernating,22
13253,2,2,4,hibernating,22
13255,5,2,2,potential_loyalists,52
13256,4,1,1,promising,41
13258,5,3,3,potential_loyalists,53
13259,3,1,2,about_to_sleep,31
13260,3,1,3,about_to_sleep,31
13261,1,2,4,hibernating,12
13262,1,1,1,hibernating,11
13263,5,5,5,champions,55
13265,3,4,5,loyal_customers,34
13266,5,5,5,champions,55
13267,5,5,5,champions,55
13268,4,5,5,loyal_customers,45
13269,5,5,5,champions,55
13270,1,1,3,hibernating,11
13271,3,1,1,about_to_sleep,31
13272,4,2,2,potential_loyalists,42
13273,2,1,1,hibernating,21
13276,3,2,3,about_to_sleep,32
13277,4,4,2,loyal_customers,44
13278,3,1,3,about_to_sleep,31
13279,2,1,1,hibernating,21
13282,4,3,4,potential_loyalists,43
13283,3,2,1,about_to_sleep,32
13284,1,1,1,hibernating,11
13285,4,4,5,loyal_customers,44
13291,2,1,2,hibernating,21
13292,3,2,3,about_to_sleep,32
13294,1,2,3,hibernating,12
13295,1,1,1,hibernating,11
13296,2,1,1,hibernating,21
13297,5,4,5,champions,54
13298,5,1,2,new_customers,51
13299,1,1,1,hibernating,11
13300,2,1,2,hibernating,21
13302,2,1,1,hibernating,21
13304,1,1,2,hibernating,11
13305,5,5,4,champions,55
13307,2,1,1,hibernating,21
13308,4,3,4,potential_loyalists,43
13309,5,4,4,champions,54
13310,4,3,4,potential_loyalists,43
13311,5,2,3,potential_loyalists,52
13313,4,4,4,loyal_customers,44
13314,5,3,3,potential_loyalists,53
13316,3,4,5,loyal_customers,34
13317,3,5,5,loyal_customers,35
13318,5,3,3,potential_loyalists,53
13319,5,5,5,champions,55
13321,2,2,3,hibernating,22
13322,4,1,1,promising,41
13323,5,4,3,champions,54
13324,3,5,5,loyal_customers,35
13325,2,1,3,hibernating,21
13327,3,5,5,loyal_customers,35
13328,1,1,4,hibernating,11
13329,4,2,3,potential_loyalists,42
13332,4,1,2,promising,41
13336,2,1,3,hibernating,21
13338,2,1,2,hibernating,21
13339,1,1,3,hibernating,11
13340,3,5,5,loyal_customers,35
13341,1,1,3,hibernating,11
13343,2,1,2,hibernating,21
13344,3,3,5,need_attention,33
13345,1,1,2,hibernating,11
13347,3,1,2,about_to_sleep,31
13348,3,1,1,about_to_sleep,31
13349,5,1,1,new_customers,51
13350,4,2,4,potential_loyalists,42
13351,3,1,2,about_to_sleep,31
13352,3,1,2,about_to_sleep,31
13354,3,1,3,about_to_sleep,31
13355,2,1,3,hibernating,21
13356,2,1,3,hibernating,21
13357,1,1,3,hibernating,11
13358,1,1,2,hibernating,11
13359,3,1,2,about_to_sleep,31
13362,5,4,5,champions,54
13363,4,2,4,potential_loyalists,42
13364,3,1,1,about_to_sleep,31
13365,3,2,5,about_to_sleep,32
13366,3,1,1,about_to_sleep,31
13368,1,2,3,hibernating,12
13369,1,1,2,hibernating,11
13370,1,1,3,hibernating,11
13372,2,1,2,hibernating,21
13373,3,3,5,need_attention,33
13375,2,1,3,hibernating,21
13379,4,3,3,potential_loyalists,43
13381,4,5,5,loyal_customers,45
13382,1,1,1,hibernating,11
13384,4,5,5,loyal_customers,45
13385,1,1,3,hibernating,11
13388,2,2,3,hibernating,22
13389,5,3,3,potential_loyalists,53
13390,2,1,3,hibernating,21
13391,1,1,1,hibernating,11
13394,5,5,5,champions,55
13395,1,1,2,hibernating,11
13396,4,2,4,potential_loyalists,42
13398,1,1,2,hibernating,11
13402,2,2,3,hibernating,22
13403,4,1,1,promising,41
13404,5,2,2,potential_loyalists,52
13408,5,5,5,champions,55
13410,4,4,4,loyal_customers,44
13411,2,1,1,hibernating,21
13416,3,2,3,about_to_sleep,32
13417,5,2,3,potential_loyalists,52
13418,5,5,5,champions,55
13419,3,1,1,about_to_sleep,31
13420,2,2,1,hibernating,22
13421,3,2,4,about_to_sleep,32
13422,3,1,5,about_to_sleep,31
13426,5,5,5,champions,55
13427,4,3,3,potential_loyalists,43
13428,5,1,1,new_customers,51
13429,5,4,4,champions,54
13430,4,2,3,potential_loyalists,42
13431,3,2,4,about_to_sleep,32
13434,2,2,3,hibernating,22
13435,5,5,5,champions,55
13436,5,1,1,new_customers,51
13437,4,5,5,loyal_customers,45
13439,1,1,2,hibernating,11
13441,2,1,2,hibernating,21
13447,4,3,4,potential_loyalists,43
13448,4,5,5,loyal_customers,45
13449,4,1,2,promising,41
13450,4,5,4,loyal_customers,45
13451,4,4,5,loyal_customers,44
13452,1,2,3,hibernating,12
13453,2,2,2,hibernating,22
13455,4,2,4,potential_loyalists,42
13456,4,5,4,loyal_customers,45
13458,5,5,5,champions,55
13460,4,2,1,potential_loyalists,42
13461,3,3,4,need_attention,33
13462,1,1,1,hibernating,11
13464,3,1,3,about_to_sleep,31
13466,1,1,2,hibernating,11
13467,5,2,4,potential_loyalists,52
13468,5,5,5,champions,55
13470,2,2,1,hibernating,22
13471,5,4,5,champions,54
13473,3,2,2,about_to_sleep,32
13474,1,1,1,hibernating,11
13476,2,2,4,hibernating,22
13477,3,5,4,loyal_customers,35
13479,1,2,2,hibernating,12
13481,3,4,4,loyal_customers,34
13482,1,1,1,hibernating,11
13483,3,1,1,about_to_sleep,31
13484,1,1,2,hibernating,11
13485,1,1,2,hibernating,11
13487,3,3,3,need_attention,33
13488,4,5,5,loyal_customers,45
13491,3,5,4,loyal_customers,35
13493,1,2,3,hibernating,12
13494,1,1,2,hibernating,11
13495,5,4,4,champions,54
13496,5,2,3,potential_loyalists,52
13497,1,2,2,hibernating,12
13499,4,4,4,loyal_customers,44
13500,4,3,4,potential_loyalists,43
13501,1,1,4,hibernating,11
13502,4,3,2,potential_loyalists,43
13503,3,1,1,about_to_sleep,31
13504,3,1,2,about_to_sleep,31
13506,1,2,2,hibernating,12
13507,5,4,5,champions,54
13508,1,1,1,hibernating,11
13509,5,5,4,champions,55
13510,5,4,4,champions,54
13512,1,1,2,hibernating,11
13513,2,1,1,hibernating,21
13514,2,1,1,hibernating,21
13516,4,3,4,potential_loyalists,43
13517,3,3,5,need_attention,33
13518,2,1,3,hibernating,21
13519,2,1,1,hibernating,21
13520,3,5,5,loyal_customers,35
13521,5,3,4,potential_loyalists,53
13522,4,1,1,promising,41
13523,3,4,5,loyal_customers,34
13524,3,4,3,loyal_customers,34
13525,4,2,3,potential_loyalists,42
13527,3,5,5,loyal_customers,35
13529,2,2,2,hibernating,22
13531,1,2,2,hibernating,12
13532,3,1,1,about_to_sleep,31
13534,5,5,5,champions,55
13536,5,5,5,champions,55
13538,3,5,4,loyal_customers,35
13544,3,2,2,about_to_sleep,32
13546,5,3,3,potential_loyalists,53
13548,2,2,3,hibernating,22
13549,4,5,3,loyal_customers,45
13551,1,1,1,hibernating,11
